  oid   |      Identifier       |        ra        |        dec         
9221820 |"UCAC4 673-060769"     |238.05743408756   |44.48216713577      
9221821 |"UCAC4 673-060771"     |238.09805947043003|44.50647194527      
9221822 |"UCAC4 673-060772"     |238.10114855631   |44.43333023822      
9221749 |"UCAC4 674-047021"     |101.02398342453002|44.78961595218      
9221750 |"UCAC4 674-047037"     |101.05891359624002|44.7783527149       
9221751 |"UCAC4 674-047038"     |101.06221979312001|44.794868503000004  
9221752 |"UCAC4 674-047043"     |101.08115196949001|44.79306345027      
9221753 |"UCAC4 674-047047"     |101.09041072499001|44.79547215150001   
9221754 |"UCAC4 674-047049"     |101.10343477621   |44.7716077779       
9221756 |"UCAC4 674-047059"     |101.13687853248   |44.78841299919      
9221757 |"UCAC4 674-047066"     |101.15931806857002|44.77915095426      
9221769 |"UCAC4 674-053607"     |146.77188548236   |44.68405819527      
9221770 |"UCAC4 674-053609"     |146.78422844346   |44.66878208312999   
9221771 |"UCAC4 674-053612"     |146.82041614558   |44.63900452661      
9221772 |"UCAC4 674-053613"     |146.83254253035   |44.67408559832      
9221773 |"UCAC4 674-053614"     |146.83401318708   |44.68563286049      
9221774 |"UCAC4 674-053616"     |146.85143891327   |44.66217875873      
9221775 |"UCAC4 674-053617"     |146.85147528486   |44.63239150568      
9221776 |"UCAC4 674-053618"     |146.85803816402   |44.69278469909      
9221777 |"UCAC4 674-053620"     |146.87713471287   |44.66676924193      
9221755 |"UCAC4 675-047912"     |101.10761709045002|44.80599787225      
9221823 |"UCAC4 675-059600"     |238.80745882688   |44.97093756574      
9221733 |"UCAC4 676-021990"     |55.96651681924    |45.16737151561001   
9221836 |"UCAC4 676-065650"     |281.89873413332   |45.17613220255001   
9221837 |"UCAC4 676-065972"     |282.60110347817   |45.10262745322      
9221838 |"UCAC4 676-065975"     |282.6064079545599 |45.10177113048      
9221839 |"UCAC4 676-065978"     |282.61254072593   |45.13219397544      
9221840 |"UCAC4 676-065984"     |282.6295919025599 |45.16027691717      
9221841 |"UCAC4 676-065986"     |282.6383681425    |45.17864044723      
9221842 |"UCAC4 676-065988"     |282.64259768693   |45.12403430829      
9221843 |"UCAC4 676-065991"     |282.65122681573   |45.15189431206999   
9221844 |"UCAC4 676-066001"     |282.67390307877   |45.11028122341      
9221845 |"UCAC4 676-066009"     |282.68872064338   |45.12838188539      
9221846 |"UCAC4 676-066011"     |282.69232134714   |45.09804435771      
9221847 |"UCAC4 676-066013"     |282.69383311818   |45.10319516628999   
9221760 |"UCAC4 677-049881"     |127.54289845657001|45.31947561708      
9221761 |"UCAC4 677-049885"     |127.56816492017   |45.33063384099      
9221734 |"UCAC4 678-023058"     |56.363055384119995|45.47962403311      
9221735 |"UCAC4 678-023063"     |56.38143516398    |45.45553454901      
9221736 |"UCAC4 678-023069"     |56.38910269841999 |45.45360030216      
9221737 |"UCAC4 678-023079"     |56.39926896361    |45.4087456055       
9221738 |"UCAC4 678-023084"     |56.410816         |45.420952           
9221739 |"UCAC4 678-023089"     |56.413829         |45.427029           
9221740 |"UCAC4 678-023115"     |56.45002553993    |45.45483081957      
9221853 |"UCAC4 678-116201"     |328.3220681186    |45.58743124053      
9221855 |"UCAC4 678-116226"     |328.35232722587   |45.59586365595      
9221856 |"UCAC4 678-116240"     |328.36336853009   |45.594707759390005  
9221859 |"UCAC4 678-116261"     |328.39059337183   |45.57248641415999   
9221860 |"UCAC4 678-116341"     |328.48698119318   |45.53990911397      
9221861 |"UCAC4 678-116395"     |328.52985027463   |45.54391944958      
9221862 |"UCAC4 678-116397"     |328.53131142387   |45.535296072550004  
9221851 |"UCAC4 679-113303"     |328.29710316471   |45.60586999559      
9221852 |"UCAC4 679-113325"     |328.32192244359   |45.62347186147999   
9221854 |"UCAC4 679-113351"     |328.34794189428   |45.63815376681      
9221857 |"UCAC4 679-113376"     |328.37672820828993|45.60306732965      
9221858 |"UCAC4 679-113384"     |328.38581871363994|45.61676300043      
9221707 |"UCAC4 680-004467"     |11.63024736082    |45.84047146246      
9221708 |"UCAC4 680-004530"     |11.793801392820003|45.87598225909001   
9221709 |"UCAC4 680-004540"     |11.812754853559998|45.90267094568      
9221710 |"UCAC4 680-004541"     |11.81396532671    |45.92033160982001   
9221711 |"UCAC4 680-004544"     |11.829563905249998|45.8914503605       
9221712 |"UCAC4 680-004546"     |11.838122858329998|45.89501707071      
9221791 |"UCAC4 683-054617"     |172.40240335064   |46.59582465940999   
9221726 |"UCAC4 685-010802"     |27.979360653850005|46.98120028117      
9221731 |"UCAC4 685-010821"     |28.021220582619996|46.98094236691      
9221727 |"UCAC4 686-010978"     |27.99942403506    |47.05073603131      
9221728 |"UCAC4 686-010980"     |28.000574110659997|47.02793942568      
9221729 |"UCAC4 686-010988"     |28.01236935014    |47.0094803343       
9221730 |"UCAC4 686-010989"     |28.01416086416    |47.0550177688       
9221732 |"UCAC4 686-010999"     |28.036638694979995|47.0010516996       
9221534 |"UCAC4 688-127407"     |349.18731978021   |47.44998268296      
9221808 |"UCAC4 693-053983"     |204.03412443574   |48.48268521015999   
9221809 |"UCAC4 693-053989"     |204.13254586464998|48.50492177997      
9221717 |"UCAC4 706-010981"     |22.370721144419996|51.15540093522      
9221718 |"UCAC4 706-010983"     |22.3746624255     |51.13400758573      
9221778 |"UCAC4 709-049230"     |148.7550517676    |51.66634933371      
9221779 |"UCAC4 709-049234"     |148.89369546342   |51.61165552589      
538192  |"UCAC4 710-050402"     |146.7645218067    |51.91926053015      
9221716 |"UCAC4 713-010332"     |19.72624843318    |52.46387876947      
9221796 |"UCAC4 716-051194"     |183.35180675956997|53.04088881799      
9221720 |"UCAC4 717-012428"     |22.743607419479996|53.37163600797      
9221721 |"UCAC4 717-012445"     |22.77776874031    |53.3380787872       
9221827 |"UCAC4 718-057266"     |252.45074721081   |53.52508789367      
9221828 |"UCAC4 718-057269"     |252.48935232238   |53.50515551347      
9221830 |"UCAC4 718-057277"     |252.53165078938   |53.48035945398999   
9221531 |"UCAC4 718-057278"     |252.54824808565   |53.44990234785      
9221766 |"UCAC4 728-047552"     |132.42612616479   |55.57921265247      
9221765 |"UCAC4 729-046561"     |132.42088091217   |55.602362379540004  
9221810 |"UCAC4 738-053331"     |206.26976489514   |57.53645966282      
9221792 |"UCAC4 753-048653"     |180.94675309138998|60.53571695702999   
9221794 |"UCAC4 753-048655"     |181.00915184100998|60.58277359294      
9221795 |"UCAC4 753-048666"     |181.27031910529996|60.58664544784      
9221793 |"UCAC4 754-046742"     |181.00666317897998|60.63015102488      
9221722 |"UCAC4 789-005531"     |27.620252723600004|67.73626831248001   
9221723 |"UCAC4 789-005538"     |27.643249940480004|67.69806981565      
9221724 |"UCAC4 789-005539"     |27.649725263289998|67.73270859558      
9221725 |"UCAC4 789-005569"     |27.8809522251803  |67.7108329395463    
538176  |"V* ER UMa"            |146.799754213     |51.90248613689      
2923595 |"V* V648 Lyr"          |275.93949458038   |41.09663501139      
540600  |"Wolf  309"            |127.53935872705   |45.34174991395      
